,eso_f1_0,eso_f1_1,eso_f1_2,eso_f1_3,eso_f2_0,eso_f2_1,eso_f2_2,eso_f2_3,eso_f3_0,eso_f3_1,eso_f3_2,eso_f3_3,eso_f4_0,eso_f4_1,eso_f4_2,eso_f4_3,eso_f5_0,eso_f5_1,eso_f5_2,eso_f5_3,eso_f6_0,eso_f6_1,eso_f6_2,eso_f6_3,eso_f7_0,eso_f7_1,eso_f7_2,eso_f7_3,eso_f8_0,eso_f8_1,eso_f8_2,eso_f8_3,eso_f9_0,eso_f9_1,eso_f9_2,eso_f9_3,eso_f10_0,eso_f10_1,eso_f10_2,eso_f10_3,eso_f11_0,eso_f11_1,eso_f11_2,eso_f11_3,eso_f12_0,eso_f12_1,eso_f12_2,eso_f12_3,eso_f13_0,eso_f13_1,eso_f13_2,eso_f13_3,eso_f14_0,eso_f14_1,eso_f14_2,eso_f14_3,eso_f15_0,eso_f15_1,eso_f15_2,eso_f15_3,eso_f16_0,eso_f16_1,eso_f16_2,eso_f16_3,eso_f17_0,eso_f17_1,eso_f17_2,eso_f17_3,eso_f18_0,eso_f18_1,eso_f18_2,eso_f18_3,eso_f19_0,eso_f19_1,eso_f19_2,eso_f19_3,eso_f20_0,eso_f20_1,eso_f20_2,eso_f20_3,eso_f21_0,eso_f21_1,eso_f21_2,eso_f21_3,eso_f22_0,eso_f22_1,eso_f22_2,eso_f22_3,eso_f23_0,eso_f23_1,eso_f23_2,eso_f23_3,eso_f24_0,eso_f24_1,eso_f24_2,eso_f24_3,eso_f25_0,eso_f25_1,eso_f25_2,eso_f25_3,eso_f26_0,eso_f26_1,eso_f26_2,eso_f26_3,eso_f27_0,eso_f27_1,eso_f27_2,eso_f27_3,eso_f28_0,eso_f28_1,eso_f28_2,eso_f28_3,eso_f29_0,eso_f29_1,eso_f29_2,eso_f29_3,eso_f30_0,eso_f30_1,eso_f30_2,eso_f30_3
0,1362561905936.4333,1053456336247.228,669323015394.3804,1045206167742.6881,9.434931095806868e+46,5.841471482039139e+43,5.396143169424461e+46,2.8407895677165137e+51,361065.3887368645,444819.44399596425,140845.076594083,8084925.227576321,22605.772678538076,37997.20733524062,34359.85232172739,31207.915805796594,1187.0146088375586,1270.4843107427707,957.5581589766207,1114.5915816265358,786.6196417398148,749.2025382257257,751.8176918204681,752.9574491796425,2618.0103757006104,2547.649677542543,3254.809025072574,3147.4691905507198,1340.786389871579,1278.3013920429444,1271.836662736273,1289.6054968067117,48865.548505117906,28881.0757900267,24100.918109122947,37935.709856926886,10905.433012016876,10941.994217648848,9736.693417174662,10257.672815495644,39517.83033375077,16058.932320386048,119375.99336175382,105543.61142784733,246666710151.6091,143866950603.20554,259754675575.36966,224691354758.24127,211747771617.58093,372505204317.73114,181401573310.98462,415962446614.4997,10596940.937134918,62363261.37991136,47678221.30340563,158919121.01066166,89513739885.60988,71223706482.11386,47636785696.57744,32970992495.26407,6974.122329222625,8135.310885500313,10659.42543507493,10095.911247811044,11316.802603790957,13105.559278884106,6150.544202021094,4552.556325464064,454065000.72858644,736382734.860143,573196196.4369165,1819283859.527922,22965173156.211395,143564463382.36963,66006175863.28159,36719031074.279526,3458.334941645385,3734.339734356759,3683.9242729243747,3293.703333122111,2889.6133845411227,3002.330815554741,2960.4017351324355,2911.2762753799398,11901.891827445132,12537.13312320804,12524.47237054827,11518.722251754025,3485.295237945429,3961.6558449385784,3695.505883017154,3860.2325916550617,4037.110411421472,4808.325417909038,4139.025310000487,4339.279183145323,21796.508927508672,6003.398991998774,22821.0995126532,9516.55494255507,17608.875157245806,15475.696438896743,14267.815378645611,12728.526247761438,5039.7779462685285,5392.374331428743,6166.685111823417,4675.128301864886,12916.148562174212,10204.513139248314,11133.59061787829,13879.307384108231,8603.241444169678,15478.86577974998,21944.38977232641,14606.349134053175,18432107001.537266,64569141302.678604,26273300550.65991,33091449172.9555
1,1186808628611.2112,853678447752.607,669323015394.3804,767297534125.6202,9.434931095806868e+46,4.0992363527276233e+43,5.396143169424461e+46,2.8407895677165137e+51,361065.3887368645,444819.44399596425,140845.076594083,4207402.682916392,22605.772678538076,24617.809359507286,29863.13605924979,26011.87891464432,1161.1245866258005,1178.7753720291425,957.5581589766207,1110.3689512865167,786.6196417398148,740.8082782711454,731.5190989127971,752.9574491796425,2385.768987452687,2161.5675396856977,2852.9672495660843,2941.152558793914,1340.786389871579,1228.550269133154,1215.262413529511,1288.7231433144752,37433.870663326685,27848.309865753996,24100.918109122947,37935.709856926886,10299.8505325304,10021.613741255056,9736.693417174662,10257.672815495644,38937.185518523285,16058.932320386048,119375.99336175382,105543.61142784733,228469639066.52002,139069645046.48462,194290969694.6174,150594584085.63998,139766718203.5524,362051335962.07086,162395687852.65988,397643109023.7813,10596940.937134918,62363261.37991136,47678221.30340563,41371365.46625783,83396214288.79892,68220522271.956665,42351627235.29021,25671675870.839756,6806.354460315815,8135.310885500313,8350.355062373936,10095.911247811044,8149.799463210046,7980.545177877717,6150.544202021094,4465.573376099444,283149143.2474881,426217714.6436064,572992464.8390745,249217484.4020313,22965173156.211395,94608658380.62901,54804114040.866806,27867721246.468052,3309.144385280513,3734.339734356759,3683.9242729243747,3293.703333122111,2889.6133845411227,2899.2183386157926,2960.4017351324355,2890.372710763588,11901.891827445132,11913.90127354493,12524.47237054827,10034.567845060361,3485.295237945429,3872.6700529522295,3695.505883017154,3860.2325916550617,4033.959440318662,4373.265312463408,3803.3685547181376,4138.1339743190565,18291.179018015893,6003.398991998774,8694.242087606832,9300.700486620488,17443.952897397467,14916.49955551354,14267.815378645611,12261.136009580034,5018.911670713345,5392.374331428743,5167.761297347375,4626.173521857374,11521.806301645523,10204.513139248314,8695.61054545279,11102.179471337002,8603.241444169678,15117.307693001612,21944.38977232641,13528.656579552922,11361142060.010092,52628164183.03659,20424587187.574844,33091449172.9555
2,839780415918.9353,725391106988.4457,669323015394.3804,754116533054.6938,9.434931095806868e+46,4.0992363527276233e+43,5.396143169424461e+46,2.4774600734040157e+51,361065.3887368645,444819.44399596425,140845.076594083,1986495.175689448,20507.670195703777,24617.809359507286,25969.73184829208,20058.034609942908,1097.9941918767902,1161.1893573908453,957.5581589766207,1110.3689512865167,786.6196417398148,740.8082782711454,731.5190989127971,752.9574491796425,2168.4759662125894,1919.8012812258517,2348.9481941067606,2678.142115860924,1186.0456056403268,1228.550269133154,1215.262413529511,1248.78073415692,37433.870663326685,27848.309865753996,20533.740496861115,37935.709856926886,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,38937.185518523285,16058.932320386048,88709.27678412096,105543.61142784733,208127215977.13623,135511072069.95609,194290969694.6174,105161336496.35526,130777137633.83939,352789099474.9452,162395687852.65988,379679215738.4251,10596940.937134918,62363261.37991136,47678221.30340563,20866446.902483594,68675078719.704124,65458520747.81377,38461082438.49892,21980555461.957096,6806.354460315815,8135.310885500313,8188.837444619656,10069.633283719671,8035.898920997865,7980.545177877717,5226.376725181704,4465.573376099444,283149143.2474881,426217714.6436064,572992464.8390745,249217484.4020313,19420145252.531216,90859258743.3261,49158193339.102394,27867721246.468052,3309.144385280513,3734.339734356759,3683.9242729243747,3293.703333122111,2889.6133845411227,2899.2183386157926,2920.463917495189,2890.372710763588,11901.891827445132,11913.90127354493,12171.81065662421,9041.145638811127,3483.964785610473,3800.715209297779,3695.505883017154,3860.2325916550617,4033.959440318662,4373.265312463408,3661.4475412373977,4138.1339743190565,15444.812514556608,5779.0091192773925,8109.573754335571,6959.973000937695,16191.445396926014,14194.930088928784,14188.057546409986,11893.420101654387,5018.911670713345,5392.374331428743,5167.761297347375,4594.206913948445,11116.053583207247,9401.878922321845,8695.61054545279,9191.239921361339,8603.241444169678,10780.5631048976,9689.009940614469,12917.335846108524,11361142060.010092,45637662089.486786,20424587187.574844,33091449172.9555
3,839780415918.9353,725391106988.4457,669323015394.3804,744080275153.7726,9.434931095806868e+46,4.0992363527276233e+43,2.6759512338520114e+46,2.133644440330847e+51,361065.3887368645,399277.8132231448,140845.076594083,852723.9687123747,19412.02210771145,24284.74891886055,21994.1183893617,19669.07223334023,1097.9941918767902,1107.0610087310565,950.5052233745469,1093.5307615713782,786.6196417398148,740.8082782711454,731.5190989127971,752.9574491796425,1955.0981226276244,1834.4752539952876,2095.5418915868195,2265.147322243872,1182.4543015014954,1228.550269133154,1215.262413529511,1241.411190401649,27646.52174764855,27362.119956263447,20533.740496861115,23375.164884317717,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,38937.185518523285,16058.932320386048,74142.44639365008,105543.61142784733,156018837816.7013,130900615088.55804,163180498531.56216,102652351451.56256,122745858517.22926,316645172956.808,152248238134.22424,353496418664.012,7098403.85030314,14904385.135267746,47678221.30340563,20731634.313991733,24664119305.45776,62932126001.947464,34961439864.812035,19889581682.455383,6806.354460315815,8006.638768833789,7573.449389432271,9953.713986005789,6838.146233818882,7980.545177877717,5075.41182276027,4297.794889077077,261045798.76808617,426217714.6436064,572992464.8390745,61215290.638778634,18753831962.003105,63208467194.05859,48921183686.4879,27867721246.468052,3309.144385280513,3734.339734356759,3683.9242729243747,3293.703333122111,2889.6133845411227,2845.0713125085304,2861.5944216262624,2880.9171711723275,11901.891827445132,11913.90127354493,11296.852870945928,8860.74147612935,3483.964785610473,3773.0289708880496,3668.557994611003,3860.2325916550617,4033.959440318662,4373.265312463408,3661.4475412373977,3879.9420847294564,13151.737309995617,5634.434661737594,8092.9528057071075,5748.629844987783,16058.855569895924,14044.141512157334,13837.918421465049,11893.420101654387,4848.906525419919,5251.898876847076,4853.565729853276,4514.1249467219295,10786.497771986242,9401.878922321845,8695.61054545279,9191.239921361339,8603.241444169678,9607.050551196311,9689.009940614469,12917.335846108524,11361142060.010092,27081854144.759953,19990861126.007275,29695217672.815247
4,836509896862.4521,721780333112.6394,669132648674.9612,695977600889.4866,9.434931095806868e+46,4.0992363527276233e+43,2.602987907356578e+46,1.7676763085785582e+51,361065.3887368645,399277.8132231448,140845.076594083,367179.71784298867,18925.166741781544,24284.74891886055,19868.317944141185,17037.158790064503,1097.9941918767902,1077.6103068997813,934.942971343625,1040.628966945655,770.7035677904237,740.8082782711454,731.5190989127971,752.9574491796425,1876.794894650077,1807.0373692892738,2028.7402240096296,2176.9265584687955,1182.4543015014954,1215.230719127148,1190.5406330240176,1224.7713197314401,27646.52174764855,20614.834881660347,18665.38802531903,23375.164884317717,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,38937.185518523285,16058.932320386048,60257.365841909836,105543.61142784733,153082744348.9232,114911859208.25906,163180498531.56216,102164577924.2859,114737652246.82835,288531731559.2488,96975207883.39706,348047576298.9043,5028627.772051088,14904385.135267746,47678221.30340563,14063107.466433514,22810196317.350525,60635867375.991356,33093697527.978832,17670352802.220203,6787.303392212494,7527.241659903742,7573.449389432271,9953.713986005789,5673.003869015428,6102.691364384639,5057.192532811248,4251.7925046527,259339626.76676917,426217714.6436064,572992464.8390745,61215290.638778634,18743446670.281895,59190043188.46944,44232394161.21274,26602068350.09101,3309.144385280513,3655.7147558712513,3683.9242729243747,3293.703333122111,2889.6133845411227,2834.5779374273566,2861.5944216262624,2846.703033170037,11901.891827445132,11913.90127354493,10662.906470601622,8860.74147612935,3478.623723507358,3768.4078579297766,3668.557994611003,3860.2325916550617,4033.959440318662,4325.519367441276,3658.116708650573,3879.9420847294564,10148.927187181966,5435.432128157965,6883.866382229027,5698.561178599822,15490.5692493672,14044.141512157334,13837.918421465049,11881.726193332419,4752.930277682807,5251.898876847076,4853.565729853276,4514.1249467219295,10523.373759471819,8544.455473441394,8695.61054545279,9191.239921361339,8603.241444169678,9413.045811576054,9689.009940614469,11991.972321595387,10610901102.034988,16787582592.759426,18474110337.40163,29695217672.815247
5,744333385481.1458,721780333112.6394,628688603128.3501,695387508951.1549,9.434931095806868e+46,4.0992363527276233e+43,2.30823549498399e+46,1.146322076388823e+51,361065.3887368645,393630.8325663348,140845.076594083,212082.24453358274,18925.166741781544,23476.81635541041,19445.88249900168,14576.949134913988,1087.3152741729255,1056.1764124264337,934.942971343625,1018.3070193241522,762.1261840861338,740.8082782711454,731.5190989127971,752.9574491796425,1801.1800712514955,1768.443639201327,1988.1120754263266,2176.9265584687955,1182.4543015014954,1215.230719127148,1190.5406330240176,1217.8644000050483,27646.52174764855,19811.919531213556,18665.38802531903,16917.796873204978,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,37351.133077295795,16058.932320386048,60257.365841909836,17647.23914495774,128292203699.44167,81577306591.71944,154094536609.89368,100199223958.35748,102444847754.93578,277010580149.3928,65018359389.0257,344060890515.3264,5028627.772051088,14904385.135267746,47678221.30340563,14063107.466433514,13167306287.48901,58564377660.185074,32272097924.45929,17670352802.220203,6569.044982012064,7527.241659903742,7573.449389432271,9953.713986005789,4936.012313160762,6102.691364384639,5057.192532811248,3845.328088016325,259339626.76676917,426217714.6436064,572992464.8390745,53461249.288399346,17920237716.341084,55723349620.29555,34694073177.22044,21986301929.533943,3309.144385280513,3412.0542448971933,3627.3872183030358,3293.703333122111,2889.6133845411227,2834.5779374273566,2861.5944216262624,2840.633520859654,10846.337414086773,11913.90127354493,10662.906470601622,8682.260577987701,3478.623723507358,3768.4078579297766,3668.557994611003,3860.2325916550617,4031.88990115946,4107.411817583445,3658.116708650573,3879.9420847294564,9469.45463293197,5363.724805316249,6883.866382229027,5683.141783810179,14840.492240183388,14044.141512157334,13444.966327452014,11592.216335886476,4664.318863616632,5251.898876847076,4853.565729853276,4425.702200102323,10297.50189589591,8214.66707628507,8061.858201020156,8951.860011435972,8603.241444169678,9413.045811576054,9356.770308914856,11991.972321595387,9626503031.487814,16787582592.759426,18399608515.634186,29695217672.815247
6,733212658553.0991,624504312951.8353,616152057364.0132,604108435821.0575,9.434931095806868e+46,4.0992363527276233e+43,2.30823549498399e+46,1.146322076388823e+51,361065.3887368645,393630.8325663348,140845.076594083,181823.00958069507,18925.166741781544,21492.835871398096,19445.88249900168,14576.949134913988,1087.3152741729255,1011.56506514633,934.942971343625,1018.3070193241522,749.325564462222,740.8082782711454,731.5190989127971,751.7885198733269,1748.3972393945085,1748.7216998627814,1873.6524555908848,1774.4536220622472,1182.4543015014954,1215.230719127148,1190.5406330240176,1217.8644000050483,27646.52174764855,19744.536101321275,18665.38802531903,16917.796873204978,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,37351.133077295795,16058.932320386048,53906.824209240025,17647.23914495774,110665713571.60681,81577306591.71944,148938081813.1139,100199223958.35748,102444847754.93578,266718833496.33197,60102268884.80143,341500807388.35864,5028627.772051088,11018862.50561434,47678221.30340563,14063107.466433514,5698351355.69898,56712391482.42212,31070641373.478394,17670352802.220203,6569.044982012064,7527.241659903742,7573.449389432271,9953.713986005789,4936.012313160762,6102.691364384639,5057.192532811248,3671.404698515871,259339626.76676917,426217714.6436064,572992464.8390745,52860839.675038055,17920237716.341084,44406757461.98898,33124575793.04453,21986301929.533943,3309.144385280513,3412.0542448971933,3456.725533983507,3293.703333122111,2889.6133845411227,2834.5779374273566,2861.5944216262624,2840.633520859654,10846.337414086773,11913.90127354493,10662.906470601622,8682.260577987701,3478.623723507358,3768.4078579297766,3640.0987589321403,3767.7325616645776,4031.123030105511,4107.411817583445,3658.116708650573,3830.5774949365023,8921.18661000099,5279.441975049849,5873.503912694257,5683.141783810179,14510.149420646401,13570.262138678136,13045.877582300356,11592.216335886476,4632.583689660625,5251.898876847076,4853.565729853276,4063.770020038943,10082.769961788934,7915.580415066845,7965.914803495587,8951.860011435972,8211.734216306188,9413.045811576054,8194.010534451158,10595.960428351307,9626503031.487814,13714205048.864193,18399608515.634186,29695217672.815247
7,733212658553.0991,569893592560.9999,615956109063.9961,604108435821.0575,5.249532375771775e+46,2.89272093253975e+43,2.30823549498399e+46,5.3652779065371126e+50,361065.3887368645,393630.8325663348,140845.076594083,174469.503179232,18185.508487996645,21492.835871398096,19445.88249900168,14576.949134913988,1086.3606415157915,997.3865192633539,934.942971343625,1018.3070193241522,742.6648268342333,740.8082782711454,731.5190989127971,747.560758025071,1598.9703378219317,1650.223842458205,1814.6809054504952,1637.0520977354213,1180.6018486877983,1215.230719127148,1190.1669719355382,1217.8644000050483,24358.385875836328,18491.121997793438,18665.38802531903,16917.796873204978,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,35323.68449755065,16058.932320386048,53906.824209240025,17647.23914495774,107963176128.06195,81577306591.71944,104444869306.05647,100199223958.35748,102023015028.07826,257627549154.89072,54838594011.62527,340332455222.7486,5028627.772051088,11018862.50561434,47678221.30340563,7147930.522070828,4032050774.4631457,54917403094.97733,30576631140.684147,17670352802.220203,6169.48684917619,7527.241659903742,7573.449389432271,9953.713986005789,4936.012313160762,6102.691364384639,5057.192532811248,3671.404698515871,259339626.76676917,426217714.6436064,572992464.8390745,52860839.675038055,17920237716.341084,39771261584.503204,33087208144.896507,21986301929.533943,3309.144385280513,3412.0542448971933,3456.725533983507,3293.703333122111,2889.6133845411227,2834.5779374273566,2861.5944216262624,2840.633520859654,10846.337414086773,11913.90127354493,10662.906470601622,8682.260577987701,3450.6204702952646,3768.4078579297766,3640.0987589321403,3767.7325616645776,4012.730307828795,4107.411817583445,3658.116708650573,3808.896516054536,8489.396199362143,5264.909087460439,5873.503912694257,5612.370096301931,14402.878451518856,13242.520862389549,13045.877582300356,11457.92068651446,4539.312662833951,5251.898876847076,4709.192725693284,4063.770020038943,9865.299666742823,7760.820560348662,7694.831862599127,8946.119220051769,8211.734216306188,9413.045811576054,7901.945407762081,10266.789597049648,9626503031.487814,13714205048.864193,7024804402.696376,29695217672.815247
8,733212658553.0991,545315215208.77484,615956109063.9961,604108435821.0575,5.249532375771775e+46,2.89272093253975e+43,2.30823549498399e+46,1.518750431748074e+50,361065.3887368645,393630.8325663348,140845.076594083,174469.503179232,16585.378676995308,20434.04859092124,19445.88249900168,14576.949134913988,1051.9866098751813,997.3865192633539,934.942971343625,998.751638622592,742.6648268342333,738.1761821129355,731.5190989127971,747.560758025071,1593.1374548232593,1604.3603275879464,1802.0661767651452,1548.4553353775548,1180.6018486877983,1215.230719127148,1187.5159528253737,1217.8644000050483,24358.385875836328,18491.121997793438,18665.38802531903,16917.796873204978,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,35278.37138586647,16058.932320386048,53906.824209240025,17647.23914495774,101823224850.05438,81577306591.71944,104444869306.05647,100199223958.35748,95282601323.79791,249708334691.7996,49271891317.56508,340332455222.7486,5028627.772051088,11018862.50561434,47678221.30340563,7147930.522070828,4032050774.4631457,53353267687.95998,15249726316.840351,17670352802.220203,6169.48684917619,7527.241659903742,7573.449389432271,9790.364476248613,4805.914915665737,4797.1304538272525,4448.170405788429,3443.350363756836,259339626.76676917,407751777.4004133,572992464.8390745,52860839.675038055,16399684591.80674,36026676258.9423,32240397685.927242,15338329013.069494,3309.144385280513,3412.0542448971933,3456.725533983507,3293.703333122111,2889.6133845411227,2834.5779374273566,2822.228899198562,2840.633520859654,10776.136022859348,11913.90127354493,10662.906470601622,8682.260577987701,3450.6204702952646,3768.4078579297766,3640.0987589321403,3767.7325616645776,4002.2655758202345,4107.411817583445,3657.4985807649496,3808.896516054536,7627.874818054853,5161.439383969193,5858.386410443236,5612.370096301931,14202.70816371434,13174.957717204717,13045.877582300356,11365.898523134289,4438.10745480488,5251.898876847076,4514.611561283688,4044.387258704487,9700.323959360032,7760.820560348662,7325.90511846787,8594.93300237324,8211.734216306188,8596.89722638431,7901.945407762081,9379.9097765948,8097257420.836059,3165196706.5640206,7024804402.696376,29656382624.15259
9,727516467226.9911,545315215208.77484,615956109063.9961,597261684218.9803,5.249532375771775e+46,2.89272093253975e+43,2.30823549498399e+46,9.41563389476971e+49,361065.3887368645,393630.8325663348,140845.076594083,174469.503179232,14822.192213678252,20434.04859092124,18947.50307540549,14576.949134913988,1051.9866098751813,997.3865192633539,934.942971343625,998.751638622592,742.6648268342333,738.1761821129355,731.5190989127971,747.560758025071,1588.5540056056266,1604.3603275879464,1802.0661767651452,1548.4553353775548,1180.6018486877983,1215.230719127148,1187.5159528253737,1217.8644000050483,20833.762272323438,18491.121997793438,18665.38802531903,16917.796873204978,9980.58377568614,10021.613741255056,9736.693417174662,9939.515133101466,35121.39833690348,16058.932320386048,51018.909316852514,17647.23914495774,101823224850.05438,81577306591.71944,104444869306.05647,94806783858.50334,88053646452.18257,242933337823.32666,30196579568.566387,339397845664.65454,5028627.772051088,11018862.50561434,47678221.30340563,7147930.522070828,4032050774.4631457,49561356220.88413,15026104983.323404,17670352802.220203,6169.48684917619,7527.241659903742,7573.449389432271,9790.364476248613,4805.914915665737,3859.7603376791553,4448.170405788429,3443.350363756836,259339626.76676917,407751777.4004133,259979714.46047086,52860839.675038055,16399684591.80674,33151501226.23061,32240397685.927242,15338329013.069494,3309.144385280513,3412.0542448971933,3456.725533983507,3293.703333122111,2889.6133845411227,2834.5779374273566,2822.228899198562,2840.633520859654,10776.136022859348,11913.90127354493,10662.906470601622,8571.44863355351,3450.6204702952646,3754.6930717213445,3588.487113654964,3732.273872901252,4002.2655758202345,4105.739391711346,3657.4985807649496,3808.896516054536,7354.443991684106,4804.2541746577945,5858.386410443236,5596.047555288955,13811.250072585744,13174.957717204717,12369.707199567492,11365.898523134289,4438.10745480488,5251.898876847076,4482.557104213278,4044.387258704487,8960.218095037328,7036.326820041523,7277.516805514815,8594.93300237324,7974.036896620575,8596.89722638431,7901.945407762081,9350.670847149328,8097257420.836059,3165196706.5640206,5364146374.887989,29656382624.15259
