,Himmelblau_solution_0,Himmelblau_solution_1,Himmelblau_solution_2,Himmelblau_solution_3,Himmelblau_solution_4,Himmelblau_solution_5,Himmelblau_solution_6,Himmelblau_solution_7,Himmelblau_solution_8,Himmelblau_solution_9,Himmelblau_solution_10,Himmelblau_solution_11,Himmelblau_solution_12,Himmelblau_solution_13,Himmelblau_solution_14,Himmelblau_solution_15,Himmelblau_solution_16,Himmelblau_solution_17,Himmelblau_solution_18,Himmelblau_solution_19,Himmelblau_solution_20,Himmelblau_solution_21,Himmelblau_solution_22,Himmelblau_solution_23,Himmelblau_solution_24,Himmelblau_solution_25,Himmelblau_solution_26,Himmelblau_solution_27,Himmelblau_solution_28,Himmelblau_solution_29
0,-27665.618560954408,-29043.357337121346,-28825.8104305958,-29631.32182170068,-28916.51021461321,-28214.80233087304,-27376.88943260596,-25273.6503459,-26910.412512647374,-28098.614625400816,-29279.114377285077,-28662.312512544195,-28677.87330031545,-27252.42791072895,-27827.035405586146,-27744.23044710425,-29079.564683329816,-28714.96752290872,-27288.115011878093,-28474.660837712152,-29090.60619390772,-29005.189931306217,-29040.55732632478,-29768.863077196307,-29020.72846279884,-29192.730623656462,-28049.68702956603,-28433.524874999468,-29053.023341268738,-27930.009470183315
1,-27665.618560954408,-29146.830252409796,-28962.369548599,-29631.32182170068,-28916.51021461321,-29061.03497650923,-28531.610134262883,-28236.769751497384,-28983.711493009712,-29495.979545356444,-29279.114377285077,-28662.312512544195,-29695.37497027206,-27614.18225969674,-27828.14560149984,-29463.441297843194,-29079.564683329816,-28714.96752290872,-29153.218277694086,-28728.647004646053,-29090.60619390772,-29005.189931306217,-29040.55732632478,-29768.863077196307,-29020.72846279884,-29530.885022430048,-28049.68702956603,-28433.524874999468,-29053.023341268738,-27930.009470183315
2,-27851.882684963086,-29146.830252409796,-28962.369548599,-29631.32182170068,-28916.51021461321,-29061.03497650923,-29264.496213809212,-28236.769751497384,-28983.711493009712,-29495.979545356444,-29279.114377285077,-28698.178772465184,-29722.28000280345,-27614.18225969674,-27828.14560149984,-29463.441297843194,-29079.564683329816,-28744.41316505306,-29153.218277694086,-28728.647004646053,-29090.60619390772,-29005.189931306217,-29040.55732632478,-29768.863077196307,-29020.72846279884,-29585.055336050238,-28491.371030536066,-28433.524874999468,-29077.657690328786,-27930.009470183315
3,-27851.882684963086,-29567.1322000116,-28962.369548599,-29918.792082918375,-28916.51021461321,-29061.03497650923,-29264.496213809212,-28236.769751497384,-28983.711493009712,-29495.979545356444,-29279.114377285077,-28698.178772465184,-29722.28000280345,-27657.085978976582,-27981.3123343214,-29463.441297843194,-29173.740346806568,-28744.41316505306,-29153.218277694086,-29160.26442659585,-29090.60619390772,-29005.189931306217,-29970.249834831735,-29768.863077196307,-29742.547172324543,-29585.055336050238,-28491.371030536066,-28433.524874999468,-29077.657690328786,-29545.399161868074
4,-29186.911699067543,-29567.1322000116,-28962.369548599,-29918.792082918375,-29734.18860165251,-29061.03497650923,-29498.919228105115,-28236.769751497384,-28983.711493009712,-29866.015474132037,-29279.114377285077,-28983.49035431072,-29722.28000280345,-28026.55658019072,-29191.57136592219,-29463.441297843194,-29599.162270341527,-28744.41316505306,-29153.218277694086,-29160.26442659585,-29303.951485629535,-29005.189931306217,-29970.249834831735,-29768.863077196307,-29742.547172324543,-29698.506791965265,-28491.371030536066,-28433.524874999468,-29077.657690328786,-29545.399161868074
5,-29186.911699067543,-29821.415217990852,-28962.369548599,-29918.792082918375,-29734.18860165251,-29061.03497650923,-29498.919228105115,-28236.769751497384,-29303.772327489736,-29866.015474132037,-29279.114377285077,-28983.49035431072,-29722.28000280345,-28026.55658019072,-29748.22500397149,-29463.441297843194,-29599.162270341527,-28947.603286563313,-29153.218277694086,-29246.48564026542,-29303.951485629535,-29005.189931306217,-29970.249834831735,-29768.863077196307,-29742.547172324543,-29698.506791965265,-28491.371030536066,-29062.118238133153,-29127.41108016317,-29545.399161868074
6,-29186.911699067543,-29840.47866032264,-28962.369548599,-29938.99983534523,-29734.18860165251,-29093.5656088881,-30008.727604087762,-28659.43667233537,-29303.772327489736,-29866.015474132037,-29279.114377285077,-29579.94591174773,-29763.75145220743,-28827.62576659664,-29748.22500397149,-29463.441297843194,-29599.162270341527,-29008.82535458129,-29256.66276415076,-29246.48564026542,-29303.951485629535,-29005.189931306217,-29970.249834831735,-29768.863077196307,-29742.547172324543,-29698.506791965265,-28764.486629228206,-29062.118238133153,-29127.41108016317,-29545.399161868074
7,-29186.911699067543,-30076.190860703733,-29136.92712661199,-29938.99983534523,-29734.18860165251,-29093.5656088881,-30008.727604087762,-28766.901497439576,-29303.772327489736,-29866.015474132037,-29279.114377285077,-29579.94591174773,-29763.75145220743,-28829.776116299494,-29748.22500397149,-29618.54007348673,-29599.162270341527,-29641.674232289413,-29299.839212054947,-29246.48564026542,-29303.951485629535,-29024.86562539747,-30056.360317625178,-29768.863077196307,-29742.547172324543,-30040.080566984725,-28764.486629228206,-29208.0184966349,-29310.89265182943,-29545.399161868074
8,-29186.911699067543,-30076.190860703733,-29136.92712661199,-29938.99983534523,-29811.39891496834,-29235.859071598214,-30008.727604087762,-28766.901497439576,-29361.26066742165,-29866.015474132037,-29279.114377285077,-29704.890453971017,-29763.75145220743,-28829.776116299494,-29748.22500397149,-29618.54007348673,-29599.162270341527,-29663.696701800767,-29299.839212054947,-29265.402304112475,-29303.951485629535,-29421.222173941933,-30056.360317625178,-29768.863077196307,-29797.446850149365,-30040.080566984725,-28764.486629228206,-29223.401974388085,-29310.89265182943,-29545.399161868074
9,-29926.305920465664,-30076.190860703733,-29136.92712661199,-29938.99983534523,-29811.39891496834,-29235.859071598214,-30208.583841639345,-29460.64309980475,-29361.26066742165,-29866.015474132037,-29279.114377285077,-29743.66611722222,-29763.75145220743,-28829.776116299494,-30004.93747868633,-29745.628176993923,-29599.162270341527,-29745.645909525498,-29299.839212054947,-29510.09691810638,-29303.951485629535,-29421.222173941933,-30056.360317625178,-29768.863077196307,-29797.446850149365,-30040.080566984725,-28764.486629228206,-29679.33302694832,-29310.89265182943,-29635.298888605597
