,Himmelblau_solution_pso_0,Himmelblau_solution_de_0,Himmelblau_solution_ga_0,Himmelblau_solution_eso_0,Himmelblau_solution_pso_1,Himmelblau_solution_de_1,Himmelblau_solution_ga_1,Himmelblau_solution_eso_1,Himmelblau_solution_pso_2,Himmelblau_solution_de_2,Himmelblau_solution_ga_2,Himmelblau_solution_eso_2,Himmelblau_solution_pso_3,Himmelblau_solution_de_3,Himmelblau_solution_ga_3,Himmelblau_solution_eso_3,Himmelblau_solution_pso_4,Himmelblau_solution_de_4,Himmelblau_solution_ga_4,Himmelblau_solution_eso_4,Himmelblau_solution_pso_5,Himmelblau_solution_de_5,Himmelblau_solution_ga_5,Himmelblau_solution_eso_5,Himmelblau_solution_pso_6,Himmelblau_solution_de_6,Himmelblau_solution_ga_6,Himmelblau_solution_eso_6,Himmelblau_solution_pso_7,Himmelblau_solution_de_7,Himmelblau_solution_ga_7,Himmelblau_solution_eso_7,Himmelblau_solution_pso_8,Himmelblau_solution_de_8,Himmelblau_solution_ga_8,Himmelblau_solution_eso_8,Himmelblau_solution_pso_9,Himmelblau_solution_de_9,Himmelblau_solution_ga_9,Himmelblau_solution_eso_9,Himmelblau_solution_pso_10,Himmelblau_solution_de_10,Himmelblau_solution_ga_10,Himmelblau_solution_eso_10,Himmelblau_solution_pso_11,Himmelblau_solution_de_11,Himmelblau_solution_ga_11,Himmelblau_solution_eso_11,Himmelblau_solution_pso_12,Himmelblau_solution_de_12,Himmelblau_solution_ga_12,Himmelblau_solution_eso_12,Himmelblau_solution_pso_13,Himmelblau_solution_de_13,Himmelblau_solution_ga_13,Himmelblau_solution_eso_13,Himmelblau_solution_pso_14,Himmelblau_solution_de_14,Himmelblau_solution_ga_14,Himmelblau_solution_eso_14,Himmelblau_solution_pso_15,Himmelblau_solution_de_15,Himmelblau_solution_ga_15,Himmelblau_solution_eso_15,Himmelblau_solution_pso_16,Himmelblau_solution_de_16,Himmelblau_solution_ga_16,Himmelblau_solution_eso_16,Himmelblau_solution_pso_17,Himmelblau_solution_de_17,Himmelblau_solution_ga_17,Himmelblau_solution_eso_17,Himmelblau_solution_pso_18,Himmelblau_solution_de_18,Himmelblau_solution_ga_18,Himmelblau_solution_eso_18,Himmelblau_solution_pso_19,Himmelblau_solution_de_19,Himmelblau_solution_ga_19,Himmelblau_solution_eso_19,Himmelblau_solution_pso_20,Himmelblau_solution_de_20,Himmelblau_solution_ga_20,Himmelblau_solution_eso_20,Himmelblau_solution_pso_21,Himmelblau_solution_de_21,Himmelblau_solution_ga_21,Himmelblau_solution_eso_21,Himmelblau_solution_pso_22,Himmelblau_solution_de_22,Himmelblau_solution_ga_22,Himmelblau_solution_eso_22,Himmelblau_solution_pso_23,Himmelblau_solution_de_23,Himmelblau_solution_ga_23,Himmelblau_solution_eso_23,Himmelblau_solution_pso_24,Himmelblau_solution_de_24,Himmelblau_solution_ga_24,Himmelblau_solution_eso_24,Himmelblau_solution_pso_25,Himmelblau_solution_de_25,Himmelblau_solution_ga_25,Himmelblau_solution_eso_25,Himmelblau_solution_pso_26,Himmelblau_solution_de_26,Himmelblau_solution_ga_26,Himmelblau_solution_eso_26,Himmelblau_solution_pso_27,Himmelblau_solution_de_27,Himmelblau_solution_ga_27,Himmelblau_solution_eso_27,Himmelblau_solution_pso_28,Himmelblau_solution_de_28,Himmelblau_solution_ga_28,Himmelblau_solution_eso_28,Himmelblau_solution_pso_29,Himmelblau_solution_de_29,Himmelblau_solution_ga_29,Himmelblau_solution_eso_29
0,-27604.466313541896,-24829.78519385735,-27043.719209329076,-28687.99079600213,-29375.75823621628,-27665.04857264338,-26565.089836580588,-29500.837088543136,-28444.09778226228,-25454.242166238735,-27732.727491848662,-28839.647991903803,-28623.959834292335,-27967.556460453707,-26956.779638022468,-27409.051499328016,-29005.177727333517,-27716.886291196068,-29506.161475167835,-29815.81448712043,-29671.9991653527,1.619363349222873e+98,-28914.930370566744,-28055.028443137224,-25440.658778094737,-28638.009455510914,-27301.326368846137,-28514.898037928564,-26236.43705204237,-27578.55099579572,-28125.779659171803,-27916.65474990592,-25957.532417318398,-28170.827246982866,-27817.06585424307,-29566.890084015296,-28670.902333199323,-28787.834776793934,-29477.36251154294,-29002.18164661903,-29812.342608189454,-27253.135724122454,-29019.861122246384,-28872.017870954878,-26337.890342741775,-28077.643687473206,-25663.647054519326,-25786.543752256795,-28775.50801281311,-28815.614582687915,-29338.460348468376,-29640.955368447532,-28612.11115515107,-27410.68468269648,-28702.369790998582,-28561.056738273837,-29233.4683433196,-28139.410834180086,-27311.186634235637,-27253.036073781874,-28416.79290521954,-29229.196640383085,-29365.8932232682,-26486.80696175846,-28488.040286587573,4.318637418237892e+98,-25832.359126761366,-28737.058385926597,-29392.83507737302,-29682.63873739962,2.203690189184297e+99,-27972.748129600222,-28385.57583255886,6.517877874002175e+98,-29017.335561385793,-28796.267724913952,-27515.51382112664,-28005.95427738614,-27639.44412404482,-28240.501695491155,-26299.332645517294,-28291.697046082612,-28215.257368316037,-28386.429339421476,-26418.36770588083,-28281.68414551005,-28218.892483959564,-29519.632432782993,-28776.844201969718,-26715.77763136533,-27082.417579414207,-28807.520919633127,-28915.736134817947,-27775.298430314084,-27237.09719700875,-29522.481685428018,-28171.856215409447,-29301.635510486223,-26768.579588182933,-27818.318911275594,-27276.32078216421,-24613.87221095665,-26882.4702227406,-27963.258699772276,-27518.16490622588,-29294.7393877482,-28218.186188400596,-29060.935599186414,-29288.124752279233,-29337.695806146796,-28881.43075595272,-27208.27620911756,-28040.755668823687,8.432371659797706e+98,-29605.658606658777,-29204.803778202644,-26006.002890580818,-28414.78911816811,-28724.65191441672,-29344.941834647525
1,-27604.466313541896,-29190.11989488562,-26992.153608144807,-28687.99079600213,-29375.75823621628,-28756.92703575553,-27125.8834311561,-29500.837088543136,-28444.09778226228,-29874.06070110219,-27734.88989630795,-28839.647991903803,-28623.959834292335,-27967.556460453707,-28641.717627076552,-27409.051499328016,-29551.916329786363,-28209.79287434944,-29506.161475167835,-29815.81448712043,-29671.9991653527,-25909.987105030345,-28914.92932486525,-29044.4302466386,-25440.658778094737,-28507.02257875233,-28617.004522764506,-29117.351374983555,-26236.43705204237,-27690.061806552676,-28195.506958925303,-27916.65474990592,-25957.532417318398,-28170.827246982866,-27817.06585424307,-29566.890084015296,-28670.902333199323,-28579.806754844518,-26849.87019843801,-29002.18164661903,-29812.342608189454,-27253.135724122454,-29019.861122246384,-28872.017870954878,-26337.890342741775,-28077.643687473206,-29569.25652581959,-29872.8953538526,-28775.50801281311,-29149.146052865435,-29338.475975640147,-29663.600242332595,-28612.11115515107,-27965.29830189707,-28702.369817696115,-28561.056738273837,-29233.4683433196,-27441.187616374016,-27311.186634235637,-29672.122853697783,-28416.79290521954,-29229.196640383085,-29366.105085292485,-29496.677242020363,-28488.040286587573,-25768.18944888487,-28035.39196033002,-29274.217684315823,-29392.83507737302,-27875.485314349047,-27868.10022990923,-28569.668997711644,-29733.45505474862,2.0721928637582665e+99,-29017.335561385793,-29607.63014107458,-28363.30497778861,-28005.95427738614,-27740.130498193463,-28240.501695491155,-27864.63062950931,-28316.277085870333,-28215.257368316037,-28386.429339421476,-26418.36770588083,-27391.129087760113,-28218.892483959564,-29519.632432782993,-28776.844201969718,-28923.410341625626,-27300.251903957105,-28807.520919633127,-28915.736134817947,-27753.496941625195,-29255.29597185835,-29522.481685428018,-28171.856215409447,-29301.635510486223,-27989.955078161827,-28182.71215709354,-27276.32078216421,-26749.914740587825,-27967.311746977255,-28502.837673437214,-27518.16490622588,-28861.999242127993,-28927.439440812588,-29826.774519291565,-29288.124752279233,-28863.52133844816,-28879.93426532553,-28461.891979144566,-28040.755668823687,-24055.4361189233,-29605.658606658777,-29354.933307470026,-26032.92214751696,-27423.45711950988,-28731.016266544182,-29344.941834647525
2,-27604.466313541896,-29247.961731020157,-27023.173766222386,-28938.971377768656,-29375.75823621628,-28752.236656463207,-27125.883698997513,-29500.837088543136,-28444.09778226228,-29874.06070110219,-27014.658192546125,-29478.791992926817,-28623.959834292335,-28901.88289696222,-29365.44492113812,-29284.16375189999,-29551.916329786363,-29461.713941203943,-29506.161475167835,-29815.81448712043,-29671.9991653527,-25524.281764521984,-28801.277652787085,-29044.4302466386,-25440.658778094737,-28518.837600755323,-28617.004522764506,-29117.351374983555,-26236.43705204237,-27656.32396606152,-28195.506958925303,-28795.342961947183,-27941.302868664745,-27657.593218073445,-27830.254165453454,-29566.890084015296,-28670.902333199323,-28499.102564199588,-28635.095412011466,-30118.602205242878,-29812.342608189454,-29080.11675373756,-29222.486326683516,-28872.017870954878,-26337.890342741775,-28077.643687473206,-29569.25652581959,-29872.8953538526,-28775.50801281311,-28458.88171548264,-29338.476443310203,-29663.600242332595,-28612.11115515107,-27459.911163402583,-28702.369817696115,-28561.056738273837,-29233.4683433196,-27957.016170452403,-28788.48155405355,-29672.122853697783,-28416.79290521954,-28979.463724025398,-29366.105085292485,-29496.677242020363,-28620.1141004967,-28943.789555401563,-28035.39196033002,-29847.146205154713,-29392.83507737302,-29527.72677403092,-27862.771433704736,-29122.61253239621,-29733.45505474862,-27152.71203069982,-29017.335561385793,-29607.63014107458,-28363.30497778861,-28293.202902776287,-27880.70698177545,-29486.21488168679,-27864.63062950931,-28546.197125196628,-28215.257368316037,-28526.722453697796,-26418.36770588083,-29284.108169249314,-28218.892483959564,-29519.632432782993,-28776.844201969718,-29175.165492059463,-28170.311286768578,-28966.02588770591,-28915.736134817947,-27775.298430314084,-29498.834819515097,-29522.481685428018,-28171.856215409447,-29301.635510486223,-28615.141084109993,-28182.71215709354,-29335.89501826046,-28587.257644077206,-27969.18692295465,-29294.736994903556,-30242.288557665983,-29120.295048773714,-28927.37869062401,-29921.821799756573,-29288.124752279233,-29337.695806146796,-28821.030250758115,-28835.64313443475,-28953.098885081465,-24724.426874798024,-29605.658618003377,-29628.110775204426,-27727.030593714473,-27426.646414140807,-28732.48112678022,-29344.941834647525
3,-28594.40903790984,-29190.11989488562,-27521.665556943797,-29136.22626276728,-29375.75823621628,-28756.92703575553,-27125.883740924524,-29500.837088543136,-29126.97420239342,-29110.99930463459,-27734.88989630795,-29549.87807975499,-28623.959834292335,-27996.937530703657,-29368.92695659579,-29284.16375189999,-29884.97503854135,-27671.974483104448,-29506.161475167835,-29815.81448712043,-29671.9991653527,-25078.49410357981,-28838.008380189593,-29044.4302466386,-27504.57310022267,-28968.431732187106,-28617.004522764506,-29117.351374983555,-28001.883432733066,-29052.007333423862,-28195.506958925303,-28795.342961947183,-27941.302868664745,-28303.35416010317,-27830.254170883152,-30100.963366373733,-28670.902333199323,-28369.245124217123,-28635.096672132033,-30118.602205242878,-29812.342608189454,-29080.11675373756,-29222.486326683516,-28890.941760754627,-26337.890342741775,-28399.97495383884,-29569.25652581959,-29872.8953538526,-28775.50801281311,-28100.71552776604,-29338.519745432575,-29663.600242332595,-29433.46219554451,-28987.400734173156,-28786.616864717696,-28561.056738273837,-29233.4683433196,-29182.336640264883,-28788.48155405355,-29672.122853697783,-28447.208641730474,-27372.680134318798,-29366.105085292485,-29496.677242020363,-28620.1141004967,-30473.94016561776,-28432.78849793281,-29847.146205154713,-29392.83507737302,-29682.63873739962,-27862.771433704736,-29122.61253239621,-29733.45505474862,5.2249964212517327e+98,-29027.063476270843,-29607.63014107458,-28972.147154718594,-28515.1895783847,-27626.870475008836,-29486.21488168679,-27864.63062950931,-29630.331274985176,-28215.257325378894,-28526.722453697796,-27706.116184046048,-27705.96663778719,-28218.892483959564,-29519.632432782993,-28776.844201969718,-29261.56471397387,-28170.3113932236,-28966.02588770591,-28915.736134817947,-27980.685386606976,-29498.834819515097,-29522.481685428018,-28171.856215409447,-29301.635510486223,-28718.74504383604,-28227.566897129494,-29335.89501826046,-28853.535087230885,-27969.18692295465,-29294.736994903556,-30242.288557665983,-28861.999242127993,-28927.37869062401,-29921.821799756573,-29288.124752279233,-29667.5938889211,-29124.744538825416,-28872.16136961025,-28953.098885081465,-24830.127259011493,-29605.658606658777,-29679.123600381972,-28631.641894077657,-28749.21424981755,-28731.016346018572,-29344.941834647525
4,-28771.425617802608,-28485.267939645197,-27043.71831529548,-29136.22626276728,-29375.75823621628,-28826.72807413437,-27125.883740924524,-29643.923264022167,-29126.97420239342,-29110.99930463459,-27802.447101830927,-29549.87807975499,-28623.959834292335,-29110.723374353212,-29368.92695659579,-29284.16375189999,-29884.97503854135,-29461.713941203943,-29506.161475167835,-29815.81448712043,-29671.9991653527,-29725.42522497985,-29145.80770908428,-29044.4302466386,-27504.57310022267,-29026.946736193648,-28617.004522764506,-29117.351374983555,-28334.60356991459,-28931.02991969455,-29301.066637633332,-28795.342961947183,-27941.302868664745,-27201.15297794297,-28279.546527183622,-30100.963366373733,-28764.540425868043,-28478.82118366338,-28635.096672132033,-30118.602205242878,-29812.342608189454,-28011.863672387124,-29223.00399848473,-28890.941760754627,-28103.95704957235,-29621.362079892042,-29589.449503624266,-29872.8953538526,-28775.50801281311,-29717.74200088356,-29338.523163350947,-29663.600242332595,-29449.918436275613,-28731.798289000995,-28786.616864717696,-28561.056738273837,-29233.4683433196,-27957.016170452403,-28788.48155405355,-29672.122853697783,-29194.623071171864,-28452.342737177045,-29370.829812535332,-29496.677242020363,-28620.1141004967,-29673.825004748756,-28432.78849793281,-29868.765996295217,-29392.83507737302,-29062.068270579308,-28389.716114833718,-29148.896511155137,-29733.45505474862,-29059.160358256297,-29027.063476270843,-29607.63014107458,-29487.94622257915,-28293.202902776287,-27845.052823168484,-29821.254733212216,-27864.63062950931,-28842.65337338322,-28215.26671323599,-28526.722453697796,-27706.116184046048,-29284.108169249314,-28218.892483959564,-29519.632432782993,-28928.00138027235,-28923.410341625626,-28499.65609422484,-29050.240557182908,-29261.727317689445,-29084.873709131905,-29498.834832314395,-29575.879554408286,-28453.517429580847,-29301.635510486223,-28718.74504383604,-28509.419537209633,-29335.89501826046,-29512.87420031231,-28043.95461440888,-29294.736994903556,-30242.288557665983,-28910.584921226746,-28928.180913926117,-30009.379336983486,-29288.124752279233,-29653.60097592069,-29124.55870682608,-28872.16136961025,-29626.2199879093,-29004.323208204292,-29605.658606658777,-29679.123600381972,-28631.641894077657,-29005.13939628438,-28732.481064861775,-29344.941834647525
5,-28771.425617802608,-28211.990024496627,-27043.71831529548,-29169.57247151376,-29375.75823621628,-28991.259474062757,-27125.883740924524,-29643.923264022167,-29704.945965275,-29110.99930463459,-27806.623247579537,-29549.87807975499,-28647.444828285144,-29135.394619502767,-29368.92695659579,-29284.16375189999,-30100.088076399734,-29461.713941203943,-29506.165361566178,-29815.81448712043,-29671.9991653527,-29725.42522497985,-29145.86250532559,-29044.4302466386,-27997.036556714924,-28968.431732187106,-28617.004522764506,-29337.648305575363,-29235.184519626237,-29052.007333423862,-29301.066637633332,-28802.89268351077,-27941.302868664745,-28586.62558322714,-28279.546532613316,-30100.963366373733,-28764.540425868043,-28925.111923279987,-28635.096672132033,-30118.602205242878,-29812.342608189454,-29076.912940466056,-29225.46673978304,-28890.941760754627,-28103.95704957235,-29621.362079892042,-29589.449503624266,-29872.8953538526,-28775.50801281311,-29717.74200088356,-29353.518402122863,-29663.600242332595,-29449.918436275613,-28439.162783019714,-28786.616864717696,-28561.056738273837,-29233.4683433196,-28139.410834180086,-28791.000946183063,-29672.122853697783,-29525.64188550422,-29229.196640383085,-29370.829812535332,-29496.677242020363,-28980.629442152713,-30473.94016561776,-28435.23789673079,-29868.765996295217,-29392.83507737302,-28557.41445410101,-28389.716114833718,-29148.896511155137,-29733.45505474862,-27692.774807017246,-29027.063476270843,-29607.63014107458,-30162.468180272725,-29558.959446902285,-27845.052823168484,-29906.544703192852,-27913.615466823994,-28836.526387190526,-28215.257379317452,-28526.722453697796,-28158.297894072384,-29284.108169249314,-28218.892483959564,-29539.84245085421,-29605.49821856278,-29261.56471397387,-28517.74792788188,-29058.313518351948,-29261.727317689445,-27775.298430314084,-29498.83487344091,-29575.879554408286,-28529.627114256757,-29458.643274282455,-28718.74504383604,-28648.049954722337,-29826.32711466302,-29225.825780508192,-28043.95461440888,-29294.736994903556,-30242.288557665983,-28462.447065788758,-28927.668438598197,-30009.379336983486,-29288.124752279233,-29302.709086420808,-29156.573864483584,-29298.307169981417,-29626.2199879093,-28202.429138260337,-29605.658606658777,-29679.123600381972,-28631.641894077657,-29005.13939628438,-28732.481064861775,-29380.00005994931
6,-28790.770927959667,-29247.961731020157,-27043.71831529548,-29363.829083683075,-30009.378171789664,-28826.72807413437,-27125.883740924524,-29643.923264022167,-29704.945965275,-28769.75445984608,-27806.641362271213,-29549.87807975499,-29130.636891891914,-29135.394619502767,-29368.92695659579,-29409.750907719394,-30123.192522882673,-28920.399196076214,-29506.165361566178,-29815.81448712043,-29946.577633938512,-28950.185149019162,-29146.90686207311,-29085.254343132496,-28873.098464619674,-29183.99390785818,-28617.004522764506,-29722.5972343897,-29588.84099366494,-28675.697216611155,-29301.066637633332,-29134.539173518857,-28232.298072972877,-29238.554811438076,-28279.546532613316,-30100.963366373733,-28764.540425868043,-28659.002223873118,-28638.70514875371,-30118.602205242878,-29990.07479901729,-29080.11675373756,-29241.821316562295,-29339.097015752006,-28581.605022162294,-28077.643687473206,-29589.449503624266,-29872.8953538526,-28775.50801281311,-29149.146052865435,-29464.583300736223,-29663.600242332595,-29449.918436275613,-28702.912043002594,-28786.6174752539,-28561.056738273837,-29233.4683433196,-29182.336640264883,-28791.000946183063,-29681.345141496877,-30096.961566215956,-29535.743145303277,-29370.829812535332,-29496.677242020363,-28980.629442152713,-29440.495943199552,-28432.78849793281,-29868.765996295217,-29718.369199895635,-29062.068270579308,-28389.716114833718,-29148.896511155137,-29982.729529195247,-29059.160358256297,-29027.063476270843,-29607.63014107458,-30162.468180272725,-29287.625942086965,-27859.43195963922,-29906.544703192852,-28100.887929203207,-28386.98431457213,-28215.257379317452,-28623.35413704758,-28158.297894072384,-28085.93899762311,-28218.892483959564,-29539.84245085421,-29605.49821856278,-29261.56471397387,-28517.74792788188,-29058.313518351948,-29261.727317689445,-28093.984442327157,-29498.83487344091,-29575.879554408286,-28803.24836382909,-29458.643274282455,-28718.74504383604,-29402.96630489311,-29826.32711466302,-28825.653142534895,-28043.95464118727,-29415.87139959106,-30287.893436889022,-29213.169662644883,-28927.612421255122,-30009.379336983486,-29288.124752279233,-29472.14504194073,-29156.394391820155,-29298.307169981417,-29626.2199879093,-28072.947674629202,-29615.020559501467,-29679.123600381972,-28696.942367980366,-28488.08053907775,-28732.481064861775,-29380.00005994931
7,-29352.504206149642,-29247.961731020157,-27044.19648056231,-29410.505608833308,-30009.378171789664,-29416.832051689868,-27125.883740924524,-29643.923264022167,-29704.945965275,-30064.792476003546,-29609.275671012358,-29549.87807975499,-29152.70676603988,-29135.394619502767,-29368.92695659579,-29486.188590592887,-30237.990386256228,-29009.987795867568,-29506.165361566178,-29815.81448712043,-30330.231273709724,-28727.579238945043,-29154.87665880373,-29670.248875715824,-29536.773394046417,-28913.6960515771,-28617.004522764506,-29722.5972343897,-29588.84099366494,-27944.62997960919,-29302.73091110833,-29134.539173518857,-28232.298072972877,-29238.554811438076,-28279.546532613316,-30100.963366373733,-28780.752214236596,-29172.434088725146,-28638.70561405266,-30118.602205242878,-29990.07479901729,-28981.584952304805,-29241.821316562295,-29562.260495258506,-28802.78159459908,-29452.376382544302,-29589.449503624266,-29872.8953538526,-28775.50801281311,-29544.69660837792,-29464.583300736223,-29738.11795317779,-29571.019726695806,-29136.540259565845,-28786.6174752539,-29025.566718490125,-29233.4683433196,-27729.727348810287,-28791.000946183063,-29681.345141496877,-30096.961566215956,-29415.2299176152,-29370.829812535332,-29496.677242020363,-29284.227626396576,-28038.680252786413,-28432.78849793281,-29868.765996295217,-29718.369199895635,-29148.94627479346,-28389.716114833718,-29148.896511155137,-29982.729529195247,-28698.119585678982,-29027.063476270843,-29607.63014107458,-30183.402308687902,-29101.565917480588,-27859.43195963922,-29906.544703192852,-28100.887929203207,-29172.628370564118,-28215.257379317452,-28660.424854520945,-28158.297894072384,-27625.427034370205,-28218.892483959564,-29791.104152523916,-29605.49821856278,-27847.708783496262,-28517.74792788188,-29280.88892663573,-29410.791170714125,-28069.66523618142,-29498.835625468593,-29575.879554408286,-28803.24836382909,-29545.83570301974,-28718.74504383604,-29402.96630489311,-30087.78490846176,-28780.967592270536,-28043.95464118727,-29415.87139959106,-30385.43553803151,-28978.270059594677,-28927.612421255122,-30009.379336983486,-29288.124752279233,-29895.586874985653,-29156.394391820155,-29298.307169981417,-29626.2199879093,-29004.323208204292,-29605.658606658777,-29679.123600381972,-28696.942367980366,-28199.57095278262,-28732.481064861775,-29380.00005994931
8,-29352.504206149642,-29247.961731020157,-27044.19648056231,-29410.505608833308,-30019.94177332206,-28452.109550639794,-27125.883740924524,-29643.923264022167,-29724.49623429893,-30064.792476003546,-29626.32877677385,-29727.21324055134,-29564.94509514329,-29180.376314652254,-29368.92695659579,-29486.188590592887,-30237.990386256228,-29012.412375718384,-29506.165361566178,-29815.81448712043,-30330.231273709724,-29725.42522497985,-29154.87665880373,-29932.062878558525,-29536.773394046417,-28799.86030470792,-28617.004522764506,-29722.5972343897,-29588.84099366494,-27604.654786310566,-29372.20542286356,-29134.539173518857,-28232.298072972877,-28991.396108210763,-28279.546532613316,-30100.963366373733,-28780.752214236596,-29264.8750641284,-28638.70561405266,-30118.602205242878,-30004.58763379475,-28797.07368390521,-29241.821316562295,-29693.95726451373,-28891.067344373525,-28700.14211072518,-29589.449503624266,-29872.8953538526,-28853.035963617764,-29149.146052865435,-29479.303634848307,-29738.11795317779,-29571.019726695806,-29232.023415778865,-28786.6174752539,-29025.566718490125,-29233.4683433196,-29182.336640264883,-28791.000946183063,-29730.081386360544,-30113.939074327296,-28979.463724025398,-29370.829812535332,-29496.677242020363,-29284.227626396576,-29673.825004748756,-28432.78849793281,-29962.33235767216,-29718.369199895635,-29148.94627479346,-28389.716114833718,-29148.896511155137,-29982.729529195247,-29059.160358256297,-29027.063476270843,-29607.63014107458,-30375.7917508428,-29337.82884337252,-27859.43230597276,-29906.544703192852,-28100.887929203207,-28873.249149691073,-28215.257379317452,-28957.71607322927,-28516.06632791733,-29284.108169249314,-28218.892483959564,-29791.104152523916,-29725.62108189363,-29121.848063468584,-28499.65609422484,-29280.88892663573,-29410.791170714125,-29127.698934614404,-29498.835625468593,-29575.879554408286,-28803.24836382909,-29545.83570301974,-28718.74504383604,-29402.96630489311,-30349.174368496802,-28825.653142534895,-28043.95464118727,-29415.87139959106,-30385.43553803151,-29294.7393877482,-28927.612421255122,-30009.379336983486,-29320.455999331833,-29323.846959088183,-29156.394391820155,-29298.307169981417,-29626.2199879093,-29004.323208204292,-29605.658606658777,-29679.123600381972,-28696.942367980366,-28591.75236713465,-28732.481064861775,-29527.78285650872
9,-29352.504206149642,-29247.961731020157,-27043.71831529548,-29410.505608833308,-30019.94177332206,-28822.753564152183,-27125.883740924524,-29643.923264022167,-29947.940294271986,-29110.99930463459,-29626.328782189303,-29727.21324055134,-29564.94509514329,-28993.831200599787,-29389.27510086495,-29486.188590592887,-30237.990386256228,-29396.121998109662,-29506.166227960555,-29815.81448712043,-30330.231273709724,-29790.99469827429,-29154.877944286414,-29967.79085060711,-29536.773394046417,-28737.978295107612,-28617.004522764506,-29817.5840508408,-29588.84099366494,-28801.77755177501,-29373.846431902333,-29149.35585461859,-28232.298072972877,-29269.693263924382,-28279.546532613316,-30100.963366373733,-28780.752214236596,-29036.824125725907,-28638.70561405266,-30126.30114089469,-30004.58763379475,-29080.11675373756,-29290.10092235651,-29693.95726451373,-29154.69674338696,-28700.14211072518,-29589.449503624266,-29872.8953538526,-28853.035963617764,-28546.19925874645,-29479.30658509663,-29757.06206175768,-29571.019726695806,-29232.023415778865,-28786.6174752539,-29025.566718490125,-29434.55159490445,-27729.727348810287,-28791.000946183063,-29730.081386360544,-30113.939074327296,-29535.743145303277,-29370.82983542457,-29626.1844341014,-29447.898392556686,-29673.825004748756,-28432.789126931166,-29962.33235767216,-29718.369199895635,-29091.213954062194,-28389.761884614418,-29159.526983548334,-29982.729529195247,-29204.37783045337,-29027.063476270843,-29649.23359092883,-30424.294826056277,-29101.565917480588,-27859.43230597276,-29952.550200665697,-28100.887929203207,-29172.628370564118,-28215.257379317452,-29249.739555880114,-28516.06632791733,-28346.64963149001,-28218.892483959564,-29791.104152523916,-29725.62108189363,-29121.848063468584,-28499.65609422484,-29280.88892663573,-29410.791170714125,-29009.005823012925,-29498.835625468593,-29575.879554408286,-28869.962961536847,-29334.879629340878,-28718.74504383604,-29402.96630489311,-30349.174368496802,-28825.653142534895,-28043.9583230467,-29666.472402155552,-30385.43553803151,-28861.999242127993,-28927.612421255122,-30009.379336983486,-29334.265933467235,-29309.404256258043,-29156.394391820155,-29298.307169981417,-29626.2199879093,-29128.471669424187,-29605.658606658777,-29679.123600381972,-28696.942367980366,-29070.651557501806,-28732.481064861775,-29527.78285650872
