,eso_f1_0,eso_f1_1,eso_f1_2,eso_f1_3,eso_f1_4,eso_f2_0,eso_f2_1,eso_f2_2,eso_f2_3,eso_f2_4,eso_f3_0,eso_f3_1,eso_f3_2,eso_f3_3,eso_f3_4,eso_f4_0,eso_f4_1,eso_f4_2,eso_f4_3,eso_f4_4,eso_f5_0,eso_f5_1,eso_f5_2,eso_f5_3,eso_f5_4,eso_f6_0,eso_f6_1,eso_f6_2,eso_f6_3,eso_f6_4,eso_f7_0,eso_f7_1,eso_f7_2,eso_f7_3,eso_f7_4,eso_f8_0,eso_f8_1,eso_f8_2,eso_f8_3,eso_f8_4,eso_f9_0,eso_f9_1,eso_f9_2,eso_f9_3,eso_f9_4,eso_f10_0,eso_f10_1,eso_f10_2,eso_f10_3,eso_f10_4,eso_f11_0,eso_f11_1,eso_f11_2,eso_f11_3,eso_f11_4,eso_f12_0,eso_f12_1,eso_f12_2,eso_f12_3,eso_f12_4,eso_f13_0,eso_f13_1,eso_f13_2,eso_f13_3,eso_f13_4,eso_f14_0,eso_f14_1,eso_f14_2,eso_f14_3,eso_f14_4,eso_f15_0,eso_f15_1,eso_f15_2,eso_f15_3,eso_f15_4,eso_f16_0,eso_f16_1,eso_f16_2,eso_f16_3,eso_f16_4,eso_f17_0,eso_f17_1,eso_f17_2,eso_f17_3,eso_f17_4,eso_f18_0,eso_f18_1,eso_f18_2,eso_f18_3,eso_f18_4,eso_f19_0,eso_f19_1,eso_f19_2,eso_f19_3,eso_f19_4,eso_f20_0,eso_f20_1,eso_f20_2,eso_f20_3,eso_f20_4,eso_f21_0,eso_f21_1,eso_f21_2,eso_f21_3,eso_f21_4,eso_f22_0,eso_f22_1,eso_f22_2,eso_f22_3,eso_f22_4,eso_f23_0,eso_f23_1,eso_f23_2,eso_f23_3,eso_f23_4,eso_f24_0,eso_f24_1,eso_f24_2,eso_f24_3,eso_f24_4,eso_f25_0,eso_f25_1,eso_f25_2,eso_f25_3,eso_f25_4,eso_f26_0,eso_f26_1,eso_f26_2,eso_f26_3,eso_f26_4,eso_f27_0,eso_f27_1,eso_f27_2,eso_f27_3,eso_f27_4,eso_f28_0,eso_f28_1,eso_f28_2,eso_f28_3,eso_f28_4,eso_f29_0,eso_f29_1,eso_f29_2,eso_f29_3,eso_f29_4,eso_f30_0,eso_f30_1,eso_f30_2,eso_f30_3,eso_f30_4
0,692519777552.2324,451234935181.10223,650222833889.1948,580587993922.1482,674272850841.724,4.160905682734122e+50,2.830964634431621e+50,2.051479956131378e+50,7.080722541365464e+47,4.533243190367527e+47,238837.03900855145,1385017.4957792896,905487.2553835452,7036086.073498363,160598.28286371485,27709.443807135107,22241.97646819719,22545.99130293711,10650.25202832916,25484.948757128295,1003.1128838473362,983.6398233003632,926.4128354158073,996.3312054021162,956.9859709713446,728.3688603415654,735.1759051898968,738.5207934572687,710.2665759415428,733.954636812058,1659.182057544981,1708.8297829962564,1826.1184727759592,1620.098941769295,1598.050694833878,1228.582789037942,1187.2813860886504,1231.1510336491058,1229.71460125402,1217.0993963032352,23149.96811333956,20801.98117322877,18373.101156017496,16264.04837003832,16406.44889551962,10538.210853603805,10778.259052076124,10496.67820562676,9619.197755448075,10281.196395947694,7961.818126574201,12437.544947970757,21332.843239812555,9024.681305176888,19346.832194471153,112152312301.92326,118984066574.2057,132814674800.87187,120068957042.2868,130756373898.45285,197436603419.07278,186456587945.01718,201597935671.9776,218964029604.16907,156582848254.4435,15759320.301565362,26809035.282651417,21128153.554511473,38382858.389998406,27549879.16173214,6123433484.568649,10593144847.943886,27045431947.80214,13905693787.61689,26664119512.57429,7893.11105029996,8815.550212456114,8079.447618270209,8029.399601473939,6357.551479394973,8022.067575197048,5730.688831565876,7651.043400674845,12127.423209039542,14902.849129167747,334298613.7775334,100753768.28383757,237673868.10322434,97025425.8736578,477831400.34865814,26934835658.70023,15033641542.487406,5534036383.040684,15262958548.069529,32799134850.588432,3565.167747833738,3525.2438509943368,3565.181635320971,3454.2326160672924,3247.815569703006,2800.298201841225,2877.410801938472,2831.1790241031076,2859.297394206181,2718.3898033983664,11303.952903612906,10989.630044888443,10694.641179237333,11547.802062186194,8861.928236602906,3531.5048401999097,3937.939334008108,3541.123020399641,3698.326928270667,3646.808990493533,3639.306336090829,3696.360738626313,3932.49830665722,3883.047123218149,4247.121158337777,7576.836973955281,7588.190726179307,7464.176673400521,6927.63820153496,6135.564648077236,11680.741360024189,12468.48397493222,12927.60222158361,11022.400957030488,11114.481844023769,5317.188710878823,5041.4990699102245,5339.98502056185,5258.101308994692,5177.465359129688,7851.270387574706,9201.56342019,7251.210550453872,8498.426105401702,7672.333689921908,13714.185215050224,10934.883157753897,10441.60655861876,10319.7271060227,8889.91801811719,24160429832.017033,27953303743.52402,17273324143.831383,21494443514.686207,11340557360.772266
1,637365291803.1143,425258338896.9561,603040936331.5643,575066553873.5717,611315951472.3005,2.275700278307635e+49,1.1551875543040628e+48,1.8793487832186593e+48,5.075114107575289e+46,1.924837507364378e+44,102497.67506430602,236008.25118229585,694411.0510193149,251787.5491110669,160598.28286371485,25810.471901444587,20074.82043323797,20920.173325242322,9855.936549939988,20120.092105413012,926.2214938012127,941.6850559696944,921.2282792561593,932.9179800928592,956.9859709713446,723.684122314993,729.8429720334249,722.3850970276944,710.2665759415428,723.5786311665948,1427.8986125811357,1426.7821204364097,1420.484170067013,1456.1858026677091,1396.1806329023084,1205.2051557097434,1136.47315090972,1174.244448614414,1222.1310438149671,1203.8730408707822,17364.69644225858,12231.634285874596,18255.904266693324,12857.271163959784,12940.134884363208,9953.002690457703,9404.98757127957,10496.67820562676,9619.197755448075,10193.841800024496,7961.818126574201,12437.544947970757,16006.917488107107,8138.50037794359,11486.753263538434,102633862320.26714,116890289475.60968,105395941486.73099,116274439351.3464,110114249891.9801,125831166553.71188,181941667757.6894,148270348101.22217,218010660754.6671,100183095203.75854,15759320.301565362,7466390.846545885,21128153.554511473,9860524.015845789,13581982.556586102,6123433484.568649,10593144847.943886,2567348438.8534184,9769015613.089815,22389772042.797195,7893.11105029996,6418.889655425744,7478.721221418556,6510.66524845498,6357.551479394973,5234.009914274016,3927.645926992521,6776.925510482622,8646.698195755911,4471.8013016104305,334298613.7775334,100753768.28383757,69839483.23287633,97025425.8736578,322635568.6496254,11394572988.830982,9491243909.150124,5534036383.040684,15262958548.069529,17475665652.003876,3438.221796227757,3494.623970497073,3565.181635320971,3411.9214693957547,3247.815569703006,2771.6212061058177,2852.6248866465435,2748.591704013098,2859.297394206181,2689.311301280861,10766.35910341593,9851.196809582398,9727.848115906858,10974.607176427466,8861.928236602906,3517.808209357599,3897.692274201943,3527.113211381978,3641.192981177373,3426.9251827999915,3611.7528894251086,3654.519792404141,3842.503663747618,3875.104339089322,3966.9092734912933,6836.438742185178,6498.650505306006,5925.608119132324,5717.1354268281375,5357.984356563669,11580.1294682258,11605.884863728277,12723.50962223238,11000.284420556743,10694.632625764545,5133.619409545927,4594.015356231612,4733.993815172488,4200.242468065711,5133.072854403274,7358.43533339906,8299.766807484553,6504.76743979631,7921.99811370266,7070.2331851694735,10570.597102650492,10934.883157753897,10441.60655861876,9966.442752726418,8889.91801811719,17998563871.94135,24103498805.560802,14361293146.966476,21494443514.686207,3750144623.505857
2,616983219327.7157,425258338896.9561,579766322902.0409,518797975651.8773,604031126925.7067,3.97936179455468e+44,1.1551875543040628e+48,1.5401684895203636e+48,4.748512065172659e+46,9.22183780994215e+43,85559.05305663896,169193.4652912359,208083.15831938054,149974.3248813046,97618.24862557049,23914.372108883566,14028.048656836869,17319.120723239543,9218.249708070965,17685.044753462993,926.2214938012127,936.3443611705854,910.1300156448156,925.2271026157933,938.781001467017,723.684122314993,722.4246912071308,722.3850970276944,703.2431714131019,723.5786311665948,1360.8072802820548,1416.7508325298584,1350.3036113221726,1424.005375786458,1358.0424777352096,1186.6101111923442,1126.0335358643592,1164.0453674810058,1123.2539382114996,1186.3642933874871,16167.449516121444,12231.634285874596,15183.296693329085,12746.057845327125,12940.134884363208,9953.002690457703,9404.98757127957,10382.747949650759,9619.197755448075,9817.9925942536,7853.5531837226645,12437.544947970757,10812.01788097458,8138.50037794359,9277.662086011935,88119796979.78969,115341632851.46918,84158651583.18602,109501835375.43625,97663578349.75113,125361083732.79088,145690763160.12494,134632899263.21318,99565679778.84465,83747455426.04642,15460625.342202036,7466390.846545885,10392068.797857054,9860524.015845789,13581982.556586102,5614814600.073403,9563736635.656073,1777563778.2372854,8859552745.827871,14289155664.752956,7337.391290764057,5935.662356975048,6854.1925504513565,6510.66524845498,6357.551479394973,5165.80453010491,3532.030554713476,4766.69391908136,5664.278942334422,4185.12748404144,183608008.78121808,54318942.25677979,68699296.0194938,86992154.49146755,88199809.7212689,3262510913.7363806,4207115536.836107,5534036383.040684,14292195170.334896,8788425877.706427,3344.2570809427925,3494.623970497073,3331.055544371509,3411.9214693957547,3130.2093386440915,2758.0868888123114,2813.2933406825823,2734.416627661192,2825.1816874169062,2689.311301280861,10111.194371610796,9851.196809582398,9370.81213370434,10445.902531024849,8252.682505180564,3415.7046089967425,3553.6122841472575,3477.945771020089,3453.6185705301737,3322.5429505213933,3611.7528894251086,3597.311864418021,3654.6616606767166,3667.21598406349,3929.8718667031408,5901.425463592462,5832.332575677658,5681.660595814883,5717.1354268281375,4909.355799744664,11522.241661906242,11605.884863728277,12709.340781308434,11000.096835806688,10506.415782624474,4719.575553827651,4558.353438204972,4499.25960693332,4114.754837883953,5103.523486135554,6673.353680387583,7948.879935113453,6244.463844829204,7679.332298942332,7060.03169555071,10530.7531349201,10934.883157753897,7675.547986707903,9325.350613874787,8109.547804919663,14470512216.591717,12346063594.196644,12086356361.783289,21494443514.686207,3750144623.505857
3,602032928729.0164,415574051593.66724,500788940187.9591,461690318506.1051,551945363788.2612,2.2151525911249064e+43,1.5305735548919434e+47,8.851171338364722e+47,4.748512065172659e+46,2.225298682746271e+43,85559.05305663896,96249.7265348971,112002.52490704595,103042.42053105387,92497.70333411136,19393.6195247617,13008.629383210955,17003.441029141763,8751.929776913723,13509.553693022504,926.2214938012127,923.7566696516029,910.1300156448156,925.2271026157933,938.0241402790448,722.2664494239493,721.8276076784791,722.3850970276944,703.2431714131019,723.5786311665948,1360.8072802820548,1411.0629354991622,1303.5501709531713,1419.2339532052856,1287.694782852138,1186.6101111923442,1126.0335358643592,1159.4868307838008,1123.2539382114996,1186.3642933874871,15195.220463999018,10368.134951760532,15183.296693329085,10986.53562203784,11599.994414553235,9953.002690457703,9404.98757127957,10382.747949650759,9619.197755448075,9524.652948134655,7832.202587938071,9525.89513300868,10502.540209273815,8138.50037794359,9277.662086011935,82299628887.24579,82214119930.85046,48498119078.438866,107432741014.57155,85136932098.69603,69088823025.50754,137616098541.5287,122344386088.9972,88007902102.7876,74017850505.8086,15460625.342202036,685123.7857605455,4936046.575786991,9431821.837124525,3550112.2381287785,2187821689.148541,9058181655.58614,1459994963.2478418,7224171458.913402,12640282686.50067,6602.317313781729,5935.662356975048,6651.726925850184,6510.66524845498,6263.603036810126,5165.80453010491,3532.030554713476,4115.711997362148,5664.278942334422,3681.373063757843,183608008.78121808,54231657.322809376,53113485.88244744,71353673.54658175,88199809.7212689,2717209384.577475,4207115536.836107,3817240389.1921597,12646879469.252443,8179624657.349716,3344.2570809427925,3494.623970497073,3268.6163494575508,3411.9214693957547,3130.2093386440915,2751.479978906408,2747.511803014968,2734.341061465724,2767.915179079787,2687.1345623633674,10049.07949044174,9851.196809582398,9370.81213370434,10399.110250157602,8156.0731257056705,3390.008151516956,3553.6122841472575,3477.945771020089,3404.3327765237377,3322.5429505213933,3561.9022342684525,3597.311864418021,3559.80187304254,3407.7017278245567,3629.918704349399,5574.067417688153,5747.844871011101,5510.68878565418,5717.1354268281375,4906.80518169925,11249.149590828489,11602.34617030434,12540.310565894997,11000.096835806688,10370.060692384539,4719.575553827651,4514.777720485168,4499.25960693332,4091.2444438778357,5014.153427756417,6629.107280459667,6857.1394711139565,6217.577027437189,7538.420384136976,6799.110365351116,8962.405797626996,10934.883157753897,7481.5644912455855,9325.350613874787,7353.189012445628,11679562822.509148,10642341962.305815,8238444179.521338,14900439416.7455,3358870348.6583505
4,593135136787.3677,407224701088.05194,442563661317.9391,461690318506.1051,539045039759.5465,1.5403788992010676e+42,3.578135787454009e+42,4.874772812491808e+45,3.8020745119346177e+46,2.225298682746271e+43,85559.05305663896,90099.6000026096,112002.52490704595,102134.15337346445,92497.70333411136,19015.42038160517,13003.341937346611,17003.441029141763,7949.415777975325,13348.77739748604,926.2214938012127,898.753884255011,910.1300156448156,925.2271026157933,922.078153743943,722.2664494239493,721.8276076784791,722.3850970276944,703.2431714131019,712.7193750892787,1360.8072802820548,1402.5048836188412,1303.5501709531713,1419.2339532052856,1287.694782852138,1186.6101111923442,1126.0335358643592,1123.6993062080146,1123.2539382114996,1154.5481391622036,13498.206807058961,10368.134951760532,15183.296693329085,10774.6773858505,11599.994414553235,9953.002690457703,9404.98757127957,10382.747949650759,9506.467654834125,9385.438325470663,7644.807638080308,9525.89513300868,9749.909972728772,8138.50037794359,6220.7799122242,75818244248.00406,64884404689.68426,44139946811.45831,98107421193.3913,69254692033.14465,63320679208.78321,125280819588.5504,111356198998.24425,88007902102.7876,74017850505.8086,11246276.352620345,685123.7857605455,3248954.6835814435,8625933.892222907,3275354.0101974397,2187821689.148541,7665890242.37515,1459994963.2478418,3981970115.891127,7313879459.945297,6182.910208064233,5935.662356975048,5881.707884178456,6510.66524845498,5933.74703087088,4619.939238617953,3532.030554713476,4115.711997362148,5534.920575485985,3681.373063757843,177312028.87422124,54231657.322809376,48640716.08807494,44175431.598116696,88199809.7212689,2206785016.674149,4207115536.836107,2131108506.498215,12053363578.447283,3526534091.8421235,3246.642284911394,3494.623970497073,3268.6163494575508,3403.659038227986,3130.2093386440915,2747.9475710887614,2747.511803014968,2734.341061465724,2767.8547948148807,2687.1345623633674,8984.676210738435,9851.196809582398,9095.660524876834,10135.111628891395,8156.0731257056705,3375.960698541607,3483.6657403881836,3390.5708608514365,3384.8505318173975,3309.8615346661545,3522.100078352418,3470.407436056277,3446.9636260499024,3407.7017278245567,3609.826035171046,5340.265575484202,5726.598770383287,5417.401495482078,5717.1354268281375,4888.697379906583,11249.149590828489,11553.24463912801,12073.250034816112,10684.032881982801,10266.929962341905,4719.575553827651,4490.621881600777,4499.25960693332,4029.145790227539,4586.644477422431,6595.660562933803,6392.845346965203,6074.0318033597,7123.423953007256,6769.602299762141,8428.291025423914,10934.883157753897,6615.128426224408,9325.350613874787,6706.69053654781,9610875800.24702,7891571264.821509,6780753532.638699,9008684382.05265,3358870348.6583505
5,580716740059.9845,407224701088.05194,442563661317.9391,456010401770.59094,507971574416.0317,1.147917004720614e+40,1.3802221616834315e+42,5.924692690254631e+43,3.8020745119346177e+46,2.219130237784281e+42,85039.35726873549,90099.6000026096,97931.24063851971,101036.85833677929,92434.71075851476,17554.70857225817,12963.979437791311,16465.020390897735,7924.460136466291,12996.395277389374,926.2214938012127,896.2636592165336,910.1300156448156,925.2271026157933,922.078153743943,722.2664494239493,721.8276076784791,719.5757895924806,703.2431714131019,712.7193750892787,1360.8072802820548,1402.5048836188412,1303.5501709531713,1415.3621883874912,1287.694782852138,1186.047752297416,1126.0335358643592,1119.991551568132,1123.2539382114996,1154.5481391622036,13498.206807058961,10368.134951760532,15183.296693329085,10774.6773858505,11599.994414553235,9953.002690457703,9404.98757127957,10380.322149227835,9506.467654834125,9385.438325470663,7394.091310776043,9525.89513300868,8839.623940934047,6861.180259340435,6220.7799122242,65373829359.341064,53536389518.55507,43137544058.47381,73460508433.30267,69254692033.14465,60354874550.612686,102789044829.21979,80931546405.8352,74388601896.43489,52489726781.4411,7134145.659111529,685123.7857605455,3248954.6835814435,6498730.916048166,3237290.882706693,2187821689.148541,7298757173.018506,1459994963.2478418,3298482885.3953876,5587984839.935339,6182.910208064233,5534.170038556291,5744.171943554737,6392.409927018049,5933.74703087088,3898.555300811779,3532.030554713476,4115.711997362148,4420.411745035184,3408.2797964280608,85002292.79394883,53869679.802369505,47406033.145431355,36809359.11887378,88199809.7212689,1976589250.5311081,2795572027.2228823,1576057784.3979287,10873994592.503632,3282409157.3073797,3246.642284911394,3142.873253319662,3268.6163494575508,3282.501053814095,3130.2093386440915,2693.292611025761,2747.511803014968,2734.341061465724,2739.572419322864,2686.165747186433,8252.548827980248,9819.72615548012,8896.794794099816,10135.111628891395,8156.0731257056705,3375.960698541607,3478.691772834436,3390.5708608514365,3361.2722097859983,3302.55680134316,3522.100078352418,3456.52463022753,3446.9636260499024,3407.7017278245567,3573.4331162336557,5201.644029046283,5720.666888128437,5408.341846972377,5717.1354268281375,4699.427254198456,11249.149590828489,11463.1991064166,11971.757230242902,10684.032881982801,10266.929962341905,3861.3028231126864,4256.991145744812,4378.840441539491,3830.306516167822,4231.5097110581355,6425.071119350276,6350.305838219183,6034.628834147978,6160.739365770467,6769.602299762141,7499.237389226635,9089.373586198675,6615.128426224408,7121.655593492508,6522.01419197895,7662788059.406617,4852602891.015246,5943817787.287614,9008684382.05265,3358870348.6583505
6,574407447225.1674,407224701088.05194,438188194036.88336,456010401770.59094,495258279903.2171,1.147917004720614e+40,4.354880254274701e+40,4.542062755079253e+42,9.985877289708619e+45,1.0800147821885148e+42,81405.3633760188,90099.6000026096,95874.00226497214,95910.76112099183,89781.22990714593,14373.495945743442,6272.346383440805,13391.060386415975,7913.766115309986,12823.732223797386,926.2214938012127,896.2636592165336,910.1300156448156,925.2271026157933,922.078153743943,722.2664494239493,721.8276076784791,709.9293105575516,701.0000440561564,697.6981732685056,1360.8072802820548,1402.5048836188412,1303.5501709531713,1369.4602341921236,1287.694782852138,1173.0022987613565,1126.0335358643592,1119.991551568132,1123.2539382114996,1154.1676250693208,13498.206807058961,10368.134951760532,15183.296693329085,10774.6773858505,11599.994414553235,9953.002690457703,9404.98757127957,10153.272967640623,9506.467654834125,9385.438325470663,7394.091310776043,7645.131974962477,8839.623940934047,6562.816983057367,6161.285298362628,65373829359.341064,52925801167.13466,42744370722.261536,68642973378.701614,69254692033.14465,50231645045.778435,92942220760.02661,66711322016.932594,54885247950.67918,35818524215.864,4741447.406415447,393943.15645151306,2114321.9843345694,6498730.916048166,3223707.9994160724,2187821689.148541,3976122967.317162,1459994963.2478418,2400142906.613422,4682248190.815573,5546.261550895518,4960.868668739298,5163.528210747408,5675.708261188791,5933.74703087088,3351.252075780889,3417.4088010888922,4115.711997362148,4169.189876879126,3080.4240722753,85002292.79394883,48052160.76835576,47406033.145431355,36809359.11887378,88199809.7212689,1604725220.1380317,2119382671.6429732,1321637504.227274,10415956690.266563,3145373299.0736203,3246.642284911394,3142.873253319662,3262.3284706760614,3094.4809370581884,3130.2093386440915,2670.022044681944,2747.511803014968,2734.341061465724,2739.572419322864,2682.6338301248957,8068.364517624239,9667.060048372032,8677.460533378662,10015.87460643992,8080.47214552201,3375.960698541607,3404.996788169486,3390.5708608514365,3361.2722097859983,3302.55680134316,3513.0287315200976,3456.52463022753,3446.9636260499024,3407.7017278245567,3455.906697100445,5117.775640062019,5720.666888128437,5273.1289257059725,5627.118990134646,4699.427254198456,11249.149590828489,11170.31735025354,11971.757230242902,10684.032881982801,10266.929962341905,3861.3028231126864,4256.991145744812,4369.312670501138,3819.2678720985423,3767.226629211006,6166.394876000674,6182.474221882399,5669.01829892356,5995.142002103138,6769.602299762141,7321.124109731795,6769.023539979732,6615.128426224408,6758.751950343636,6466.586973010776,7662788059.406617,4852602891.015246,5405170993.277052,7820032887.505128,3358870348.6583505
7,572877306159.7308,407224701088.05194,381651138642.3856,456010401770.59094,493657489352.83606,2.3092030050226e+38,4.354880254274701e+40,2.985257826470301e+42,9.177584532799541e+45,1.0800147821885148e+42,81405.3633760188,90099.6000026096,93825.5568651609,95757.38626893752,81248.08284293624,13503.054583332068,6255.037756501079,13352.819079071754,7382.662308979864,12539.995554585572,926.2214938012127,895.7103847550142,910.1300156448156,925.2271026157933,922.078153743943,705.9440492806033,721.8276076784791,709.9293105575516,701.0000440561564,691.4102928481335,1360.8072802820548,1385.1434614501486,1303.5501709531713,1369.4602341921236,1287.694782852138,1153.0982344331815,1126.0335358643592,1119.991551568132,1123.2539382114996,1149.6917350295714,13498.206807058961,10368.134951760532,14933.895741517545,10774.6773858505,11599.994414553235,9953.002690457703,9404.98757127957,10153.272967640623,9506.467654834125,9385.438325470663,7394.091310776043,7001.828512110008,7718.85822023653,6136.661430455379,6161.285298362628,62350196314.30804,52925801167.13466,42218881889.855545,65681457178.15369,64086860285.41717,44150851905.532974,57896168038.993004,66408013332.29701,54885247950.67918,27610542673.611427,4741447.406415447,393943.15645151306,2040521.4164795396,3850398.1964457375,3191803.6456023785,2187821689.148541,1918759683.1436172,1459994963.2478418,1802140513.4125805,4566278204.065141,5123.664272258426,4960.868668739298,5163.528210747408,5675.708261188791,5933.74703087088,3351.252075780889,3412.4422847273463,3337.114667368146,4169.189876879126,3080.4240722753,85002292.79394883,47313204.44679952,47406033.145431355,36809359.11887378,74055228.32998703,1604725220.1380317,2119382671.6429732,1144105482.8383389,8801001440.750349,3114495185.447466,3246.642284911394,3142.873253319662,3262.3284706760614,3035.665634560997,3130.2093386440915,2670.022044681944,2747.511803014968,2734.341061465724,2723.5546543320797,2682.6338301248957,7534.1673537055285,9667.060048372032,8614.931263436774,9987.245637065898,8079.432280646671,3358.1335687662104,3397.632766201128,3390.5708608514365,3361.2722097859983,3110.6414039945926,3486.9623960279023,3456.52463022753,3445.979597123601,3407.7017278245567,3445.3865114171876,5014.805653693871,5394.906783722814,5273.1289257059725,5329.972055427032,4662.310769647331,11249.149590828489,10999.892979915488,11971.757230242902,10684.032881982801,10266.929962341905,3861.3028231126864,4256.991145744812,4322.942950498997,3619.570573486906,3758.704064000188,5838.913497379266,5623.964639424843,5471.410577151528,5935.26276884467,6766.1445704995995,6988.213889307415,6769.023539979732,6615.128426224408,6758.751950343636,6001.187987613914,7662788059.406617,4852602891.015246,3676536513.1797757,6902194533.431054,3097654247.1727443
8,451498118947.6656,407224701088.05194,379721141733.5859,456010401770.59094,370753997587.3369,9.021060753959513e+37,4.354880254274701e+40,2.6728025192915225e+42,1.0507899357692225e+43,1.0800147821885148e+42,81405.3633760188,88099.97958125403,93300.92027084937,94768.99681228766,78269.35577172575,11366.00220853816,6226.89256786047,13115.375285888096,7382.662308979864,11193.569877386988,926.2214938012127,893.9427007386744,910.1300156448156,925.2271026157933,921.8182715618566,705.9440492806033,721.8276076784791,709.9293105575516,701.0000440561564,691.4102928481335,1355.6537615385437,1350.106187232841,1303.5501709531713,1369.4602341921236,1287.694782852138,1143.4059890596227,1126.0335358643592,1119.991551568132,1123.2539382114996,1146.510032975391,13498.206807058961,10368.134951760532,14933.895741517545,10774.6773858505,11599.994414553235,9767.081210051147,9404.98757127957,10146.296573180905,9506.467654834125,9385.438325470663,6672.850403528899,6035.989601711393,5447.958351583019,6124.026028266404,5324.766385523759,57727392766.27102,45446882871.35561,41036160907.931305,64303545209.75464,50102688029.3691,40866056509.40055,57896168038.993004,65133557058.577126,46414387536.59175,26209461755.6874,4517173.305003121,393943.15645151306,278435.1177294512,3220586.4004803374,3177468.317137434,1715267867.3531985,1211431871.2614756,1459994963.2478418,1568119247.277294,4122924770.684551,5123.664272258426,4960.868668739298,5163.528210747408,4799.484075915441,5933.74703087088,3351.252075780889,3248.973971994198,3337.114667368146,3688.012566877114,3080.4240722753,85002292.79394883,44965212.2750367,47406033.145431355,36809359.11887378,51361045.39875019,1604725220.1380317,2090000452.682179,1143932475.7693417,3574328981.938008,3114495185.447466,3246.642284911394,3136.7425049473322,3262.3284706760614,3035.665634560997,3130.2093386440915,2660.250325203602,2740.7245567821847,2734.341061465724,2723.5546543320797,2680.165324528871,7070.9080140561355,9026.75582470491,8614.931263436774,8921.02082120343,7943.800892134661,3294.6097119960223,3344.3297472762533,3390.5708608514365,3361.2722097859983,3110.6414039945926,3461.42392025513,3456.52463022753,3426.7693829505897,3331.0180654134174,3444.841429306192,4999.488903722515,5086.929787650063,4971.647868868633,5267.467871698813,4551.94173709584,11249.149590828489,10999.892979915488,11361.651398745482,10684.032881982801,10266.929962341905,3861.3028231126864,4195.732697025384,4217.909241196061,3619.570573486906,3755.6060696223976,5828.683004942748,5623.964639424843,5471.410577151528,5682.826427362967,6766.1445704995995,6652.482931406595,6769.023539979732,6615.128426224408,6758.751950343636,6001.187987613914,3048196793.7122355,3753874015.347085,3676536513.1797757,4774384021.837625,3056771581.9554787
9,438471469940.6003,407224701088.05194,379597091269.1542,456010401770.59094,344870865753.7551,9.021060753959513e+37,8.060489309136876e+39,1.8211631423279915e+42,1.0507899357692225e+43,1.227823020403546e+39,81405.3633760188,82318.51628126578,89629.90176799988,92126.32536657514,77731.19391516455,10847.337345944989,5821.914931931029,11877.446609283987,7382.662308979864,9385.799136735684,926.2214938012127,893.9427007386744,910.1300156448156,925.2271026157933,921.8182715618566,705.9440492806033,720.1793668577523,709.9293105575516,701.0000440561564,691.1135022254612,1355.6537615385437,1350.106187232841,1303.5501709531713,1369.4602341921236,1287.694782852138,1139.288895443159,1126.0335358643592,1119.991551568132,1123.2539382114996,1137.7037499128248,13498.206807058961,10368.134951760532,14933.895741517545,10774.6773858505,11599.994414553235,9767.081210051147,9404.98757127957,10146.296573180905,9506.467654834125,9385.438325470663,6514.575646172693,6035.989601711393,5447.958351583019,6090.409279796165,5318.99844491239,36530104304.8913,37931136276.89441,38192146770.340355,59864363488.992325,43633054687.94043,36549295204.23743,46888917410.40144,57619709017.216644,33910084834.09805,24376182964.19169,2175611.8499988364,372549.07414350694,278435.1177294512,3146786.702136614,3111139.254040957,681359881.6035708,1211431871.2614756,1459994963.2478418,865812224.8768451,3859544440.7282825,4839.138503570999,4783.349684008359,5163.528210747408,4799.484075915441,5624.18857231797,3351.252075780889,3248.973971994198,3337.114667368146,3671.9821362174844,3080.4240722753,85002292.79394883,36498684.36066911,45791568.341636814,36809359.11887378,51361045.39875019,1604725220.1380317,2090000452.682179,1137780839.331235,2533219186.0098753,2907562067.355712,3246.642284911394,3136.7425049473322,3135.529707813255,3035.665634560997,3130.2093386440915,2660.250325203602,2732.222292886729,2730.3367163288403,2722.790085333527,2670.2067350071356,6826.960553239404,9026.75582470491,8614.931263436774,8921.02082120343,7816.942752174844,3204.3348491150837,3344.3297472762533,3390.5708608514365,3352.790145290619,3079.852238938707,3375.526343786233,3456.52463022753,3380.435132116612,3331.0180654134174,3444.829272255238,4774.251664745942,4862.216872129074,4894.162589041136,5222.630512678734,4500.923055625197,11026.391491409042,10962.9339599392,11361.651398745482,10684.032881982801,9658.92933162026,3861.3028231126864,3970.1424815701776,4217.909241196061,3619.570573486906,3695.180073529599,5674.2989528918515,5623.964639424843,5154.655866469733,5526.809042886688,6278.004743843965,6636.559347253191,6769.023539979732,6200.797103860421,6758.751950343636,5943.136046807977,2252698069.7148876,2155039656.691148,3105675408.140167,4718237392.379806,2892889090.539301
